X_f	Fat	X_c	Collagen	X_w	Water
0.09925	9.8493	0.42678	9.89935	0.76029	0.32519
0.26097	9.79383	0.42718	9.83171	1.01245	0.3279
0.27192	7.92418	0.42757	9.76407	1.26462	0.3279
0.2771	9.62202	0.42797	9.69643	1.51679	0.32925
0.2775	9.55438	0.45365	9.61796	1.76889	0.34142
0.2779	9.48673	0.45419	9.52563	2.02101	0.35089
0.27829	9.41909	0.45475	9.42991	2.27316	0.35495
0.27869	9.35145	0.46577	9.27163	2.52533	0.35495
0.27909	9.28381	0.49557	9.35009	2.77751	0.35495
0.27988	9.14852	0.50928	8.73082	3.02968	0.35495
0.28028	9.08088	0.53176	9.19925	3.28186	0.35495
0.28067	9.01323	0.53215	9.13161	3.53403	0.35495
0.28107	8.94559	0.53255	9.06397	3.7862	0.35495
0.28146	8.87795	0.53294	8.99632	4.03838	0.35495
0.28186	8.81031	0.53334	8.92868	4.29055	0.35495
0.28226	8.74266	0.53374	8.86104	4.54272	0.35495
0.28265	8.67502	0.53413	8.79339	4.7949	0.35495
0.28305	8.60738	0.58901	8.65086	5.04707	0.35495
0.28345	8.53973	0.8629	8.63308	5.29921	0.36036
0.28384	8.47209	1.11514	8.62226	5.55138	0.36172
0.28424	8.40445	1.36724	8.63443	5.80356	0.36036
0.28464	8.33681	1.62757	8.67727	6.05577	0.35495
0.28503	8.26916	1.83177	8.7344	6.30794	0.35495
0.28543	8.20152	2.05078	8.79291	6.56014	0.35089
0.28583	8.13388	2.32429	8.84007	6.81229	0.35495
0.28622	8.06623	2.53634	8.80219	7.06446	0.35495
0.28662	7.99859	2.60229	8.73759	7.31656	0.36713
0.2918	9.69575	2.67834	8.66961	7.56873	0.36848
0.30468	9.22022	2.74941	8.58979	7.82083	0.38066
0.31267	7.85654	2.76326	8.5217	8.073	0.38201
0.31307	7.7889	2.79051	8.46262	8.32517	0.38201
0.31346	7.72126	2.87336	8.3819	8.57728	0.39283
0.31386	7.65361	2.92267	8.28675	8.82944	0.39554
0.31426	7.58597	2.94333	8.20287	9.08161	0.39689
0.3335	6.02342	3.00099	8.11809	9.33372	0.40771
0.33987	7.51833	3.05234	7.96252	9.58588	0.40907
0.34027	7.45068	3.06541	8.027	9.83805	0.40907
0.34066	7.38304	3.12001	7.88924	10.09018	0.41718
0.34106	7.3154	3.17106	7.78439	10.34229	0.42801
0.34146	7.24776	3.2221	7.6818	10.59437	0.44424
0.34185	7.18011	3.27313	7.57921	10.84645	0.46048
0.34225	7.11247	3.32419	7.47323	11.0985	0.48212
0.34264	7.04483	3.3752	7.37515	11.35057	0.49836
0.34304	6.97718	3.42624	7.27143	11.6026	0.52271
0.34344	6.90954	3.47724	7.17448	11.85464	0.54571
0.34383	6.8419	3.55342	7.08541	12.10667	0.57141
0.34423	6.77426	3.5707	7.00593	12.35867	0.60117
0.34463	6.70661	3.65515	6.93773	12.61063	0.6377
0.34502	6.63897	3.74807	6.86084	12.86255	0.67964
0.34542	6.57133	3.84096	6.78778	13.11443	0.73105
0.34582	6.50369	3.94227	6.71338	13.35791	0.77885
0.34621	6.43604	4.10239	6.64303	13.63491	0.84649
0.34661	6.3684	4.17841	6.57978	13.86998	0.8961
0.34701	6.30076	4.34816	6.50562	14.12176	0.96374
0.3474	6.23311	4.50718	6.41913	14.3623	1.03664
0.3478	6.16547	4.65894	6.34134	14.57481	1.11086
0.3482	6.09783	4.81074	6.25679	14.77612	1.18273
0.37423	5.95803	4.96256	6.16773	14.97743	1.25629
0.37463	5.89039	5.05554	6.07979	15.17871	1.33577
0.37503	5.82275	5.15682	6.00989	15.37279	1.41308
0.37542	5.7551	5.25814	5.93436	15.53086	1.48797
0.40105	5.68521	5.35947	5.85431	15.68175	1.55787
0.40145	5.61756	5.46082	5.77314	15.83262	1.63227
0.40184	5.54992	5.56218	5.68972	15.98351	1.7033
0.40224	5.48228	5.66355	5.60404	16.13437	1.77883
0.40263	5.41464	5.76493	5.5161	16.28524	1.85211
0.40303	5.34699	5.86629	5.43267	16.43611	1.92652
0.40343	5.27935	5.96766	5.34699	16.58699	1.99867
0.40382	5.21171	6.06905	5.25906	16.73782	2.07984
0.40422	5.14406	6.17041	5.17563	16.88868	2.15651
0.40462	5.07642	6.27175	5.09446	17.03954	2.23204
0.40501	5.00878	6.3731	5.01329	17.19039	2.30983
0.40541	4.94114	6.47444	4.93212	17.34123	2.38875
0.40581	4.87349	6.5758	4.84869	17.49208	2.46654
0.4062	4.80585	6.67715	4.76752	17.64295	2.53982
0.4066	4.73821	6.77847	4.69086	17.79383	2.61197
0.44248	4.63945	6.87981	4.60969	17.94492	2.64804
0.447	3.86832	6.98116	4.52851	18.04521	2.74725
0.45814	4.54881	7.0825	4.44734	18.19608	2.82166
0.45854	4.48116	7.18385	4.36617	18.35415	2.89736
0.45894	4.41352	7.28519	4.285	18.54104	2.97176
0.45933	4.34588	7.38654	4.20383	18.70634	3.04231
0.45973	4.27824	7.48788	4.12266	18.9005	3.10632
0.46013	4.21059	7.58922	4.04374	19.10183	3.1765
0.46052	4.14295	7.69056	3.96257	19.30315	3.24753
0.46092	4.07531	7.79193	3.87802	19.50453	3.30841
0.46132	4.00767	7.8933	3.79121	19.75636	3.36641
0.46171	3.94002	7.99469	3.70327	20.00853	3.36776
0.48779	3.79346	8.09607	3.61534	20.26088	3.338
0.50075	3.30283	8.19745	3.52853	20.51327	3.30012
0.51346	3.7168	8.2988	3.44623	20.76566	3.26359
0.51385	3.64916	8.40012	3.3707	21.01805	3.22707
0.51425	3.58152	8.5014	3.29967	21.27044	3.18919
0.51465	3.51387	8.66154	3.22639	21.52294	3.13507
0.51504	3.44623	8.81328	3.15198	21.72513	3.05728
0.51544	3.37859	8.97218	3.08482	21.92005	2.99206
0.54155	3.22639	9.16709	3.02093	22.08617	2.92248
0.542	3.1486	9.36194	2.96693	22.28108	2.85858
0.5424	3.08096	9.62169	2.90509	22.48306	2.81715
0.56798	3.02008	9.8351	2.82542	22.73543	2.78333
0.56837	2.95244	10.03431	2.77882	22.98779	2.75221
0.56877	2.88479	10.18476	2.71955	23.24015	2.71975
0.56916	2.81715	10.37968	2.65312	23.49251	2.68863
0.56956	2.74951	10.58184	2.58125	23.74488	2.65481
0.57828	2.69539	10.78399	2.51191	23.99724	2.62369
0.60683	2.414	10.97882	2.46154	24.24959	2.59258
0.62075	2.62099	11.2384	2.42618	24.50195	2.56146
0.62115	2.55334	11.49067	2.41129	24.7543	2.53035
0.62154	2.4857	11.74273	2.43023	25.00665	2.50058
0.65829	2.23948	11.99472	2.46135	25.25899	2.47217
0.66789	2.32336	12.24669	2.49517	25.51127	2.45459
0.69912	2.15763	12.49869	2.52493	25.76354	2.43835
0.78043	2.05279	12.75073	2.54793	26.01574	2.43429
0.85873	1.96968	13.00273	2.5777	26.26796	2.42482
0.92752	1.91074	13.25474	2.60611	26.52015	2.42347
1.02791	1.99191	13.50687	2.61422	26.77239	2.41129
1.03577	2.08548	13.7591	2.6034	27.02461	2.40318
1.10243	2.18517	14.01145	2.57364	27.27688	2.38694
1.13781	2.2963	14.2638	2.54387	27.52919	2.36394
1.17689	2.38931	14.51616	2.51141	27.78154	2.33418
1.18481	2.47217	14.76851	2.48164	28.03389	2.30442
1.19885	2.94567	15.02084	2.45459	28.28623	2.27601
1.22509	2.7698	15.273	2.45729	28.53857	2.2476
1.22549	2.70216	15.54383	2.50092	28.79091	2.21784
1.22589	2.63452	15.77675	2.56011	29.04326	2.18943
1.22628	2.56687	16.00963	2.62437	29.29559	2.16237
1.23536	2.86257	16.2804	2.67916	29.54793	2.13396
1.24603	3.50034	16.53247	2.69539	29.80027	2.10555
1.2723	3.32109	16.78465	2.69539	29.9769	2.08661
1.27269	3.25345	17.0368	2.69945		
1.27309	3.1858	17.28899	2.69539		
1.27349	3.11816	17.54117	2.69539		
1.27387	3.05221	17.79338	2.68863		
1.27424	2.98964	18.04559	2.68322		
1.28256	3.41337	18.29777	2.68187		
1.34512	3.80338	18.54994	2.68187		
1.34552	3.73574	18.8021	2.68457		
1.34592	3.6681	19.05412	2.71028		
1.34631	3.60046	19.30603	2.75627		
1.34668	3.53822	19.55793	2.80227		
1.35578	3.89718	19.80995	2.82797		
1.37802	5.36052	20.06224	2.80903		
1.38688	5.28341	20.31463	2.77251		
1.38728	5.21577	20.56703	2.73327		
1.38767	5.14812	20.81943	2.69404		
1.38807	5.08048	21.07184	2.65481		
1.38847	5.01284	21.32423	2.61693		
1.38886	4.94519	21.57655	2.59258		
1.38926	4.87755	21.82878	2.58311		
1.38966	4.80991	22.08101	2.57364		
1.39005	4.74227	22.33318	2.57364		
1.39045	4.67462	22.58536	2.57364		
1.39085	4.60698	22.8376	2.56146		
1.39124	4.53934	23.08978	2.56011		
1.39164	4.47169	23.34198	2.55605		
1.39204	4.40405	23.59424	2.54117		
1.39243	4.33641	23.84659	2.51141		
1.39283	4.26877	24.09898	2.47488		
1.39323	4.20112	24.35137	2.43835		
1.39362	4.13348	24.60375	2.40182		
1.39402	4.06584	24.85614	2.3653		
1.39442	3.9982	25.10851	2.33148		
1.43034	6.47325	25.36088	2.29901		
1.43085	6.38734	25.61326	2.26248		
1.43124	6.3197	25.86563	2.23001		
1.43164	6.25205	26.11799	2.19754		
1.43204	6.18441	26.37036	2.16507		
1.43243	6.11677	26.62272	2.13261		
1.43283	6.04913	26.87508	2.10014		
1.43322	5.98148	27.12742	2.07173		
1.43362	5.91384	27.37977	2.04196		
1.43402	5.8462	27.63213	2.01085		
1.43441	5.77855	27.88445	1.98514		
1.43481	5.71091	28.13675	1.9635		
1.43521	5.64327	28.38903	1.94591		
1.4356	5.57563	28.64129	1.93103		
1.436	5.50798	28.89355	1.91615		
1.4364	5.44034	29.14581	1.90262		
1.53754	5.39434	29.39807	1.88639		
1.53793	5.3267	29.65036	1.86745		
1.53833	5.25906	29.90264	1.84851		
1.53873	5.19141				
1.53912	5.12377				
1.53952	5.05613				
1.53991	4.98849				
1.54031	4.92084				
1.54071	4.8532				
1.5411	4.78556				
1.5415	4.71791				
1.5419	4.65027				
1.54229	4.58263				
1.54547	4.04149				
1.54658	3.85209				
1.54697	3.78444				
1.54737	3.7168				
1.54777	3.64916				
1.54816	3.58152				
1.54856	3.51387				
1.54895	3.44623				
1.55612	3.94408				
1.56066	3.17025				
1.56807	4.48793				
1.56846	4.42029				
1.56886	4.35264				
1.56926	4.285				
1.56965	4.21736				
1.57005	4.14972				
1.57045	4.08207				
1.57457	3.37859				
1.57497	3.31094				
1.57536	3.2433				
1.6631	3.09374				
1.8536	3.099				
1.86413	3.02279				
1.915	2.94838				
1.96427	2.86112				
2.04289	2.764				
2.10827	2.6724				
2.20117	2.59844				
2.31085	2.52899				
2.46259	2.45526				
2.61433	2.38018				
2.6904	2.30983				
2.76644	2.24354				
2.83749	2.16778				
2.94393	2.07759				
3.04541	1.97387				
3.14686	1.87466				
3.24833	1.77207				
3.36781	1.67109				
3.46803	1.57703				
3.56936	1.49812				
3.67902	1.43183				
3.83076	1.35832				
3.98964	1.29422				
4.19573	1.23506				
4.41107	1.30533				
4.42956	1.22368				
4.58853	1.14525				
4.74741	1.08066				
4.99259	1.04491				
5.24502	1.00162				
5.39659	0.95562				
5.6488	0.95021				
5.90086	0.96915				
6.1529	0.99215				
6.40494	1.01515				
6.65698	1.03815				
6.90903	1.05844				
7.16106	1.08414				
7.41307	1.1112				
7.66506	1.14232				
7.91701	1.18155				
8.16893	1.22484				
8.42082	1.27219				
8.66431	1.31999				
8.92448	1.38989				
9.1763	1.45077				
9.41678	1.53269				
9.62206	1.61118				
9.78015	1.68413				
9.93103	1.75516				
10.0567	1.82618				
10.1824	1.89315				
10.29127	1.96147				
10.39169	2.03926				
10.49207	2.12156				
10.55889	2.19484				
10.67729	2.27794				
10.75457	2.368				
10.86009	2.43497				
10.97415	2.57514				
11.08556	2.68863				
11.18579	2.7977				
11.28597	2.91523				
11.37778	3.02797				
11.42604	3.11207				
11.54367	3.20272				
11.5612	3.28389				
11.64479	3.36393				
11.66116	3.43947				
11.74474	3.52064				
11.78627	3.60587				
11.81108	3.67622				
11.87621	3.75062				
11.92616	3.83179				
11.96101	3.90958				
12.02774	3.99865				
12.07595	4.09019				
12.14433	4.18354				
12.16071	4.25794				
12.23585	4.34588				
12.28576	4.43494				
12.33565	4.52739				
12.36541	4.61239				
12.42709	4.70213				
12.49378	4.79796				
12.50505	4.88296				
12.58511	4.99018				
12.60978	5.08319				
12.63461	5.15083				
12.65903	5.28611				
12.6746	5.21171				
12.72593	5.34474				
12.75913	5.41802				
12.76955	5.48324				
12.80867	5.57021				
12.81909	5.63592				
12.85823	5.71903				
12.86863	5.7886				
12.90779	5.86784				
12.91817	5.94128				
12.95732	6.02342				
12.96772	6.09203				
12.98075	6.32781				
13.0069	6.16885				
13.03167	6.24495				
13.06691	6.37806				
13.10557	6.54427				
13.10596	6.47663				
13.15481	6.7472				
13.15562	6.61022				
13.17032	6.68226				
13.22168	6.81146				
13.25489	6.88248				
13.26531	6.9482				
13.31269	7.05948				
13.36484	7.17625				
13.41906	7.2694				
13.4862	7.36951				
13.50371	7.45407				
13.63655	7.53089				
13.84119	7.5278				
13.93232	7.46962				
14.084	7.40446				
14.2358	7.32081				
14.30341	7.25903				
14.41301	7.20379				
14.49917	7.13141				
14.58194	7.06399				
14.68326	6.98733				
14.78459	6.90841				
14.88594	6.82724				
14.9873	6.74269				
15.06683	6.65521				
15.15644	6.56907				
15.19894	6.48745				
15.19926	6.43266				
15.26014	6.37246				
15.32621	6.2861				
15.36885	6.18125				
15.41982	6.08994				
15.47115	5.93774				
15.48423	6.00042				
15.5413	5.85238				
15.58158	5.74158				
15.61575	5.648				
15.68359	5.54541				
15.69242	5.47326				
15.71972	5.40517				
15.77507	5.30351				
15.83697	5.19141				
15.84582	5.11701				
15.8882	5.05613				
15.89694	4.99976				
15.93933	4.93775				
15.94806	4.88251				
15.97537	4.81261				
16.04149	4.71791				
16.05033	4.64351				
16.07762	4.57722				
16.13296	4.4773				
