case,group,thickness_mm,water,fat,collagen,photons,geant4_seconds,metal_seconds,wall_speedup,profile_p_value,profile_reduced_chi2,profile_integrated_relative_difference,normalized_shape_relative_l2,max_abs_channel_z
collagen_50mm,pure components,50.0,0.0,0.0,1.0,100000000,307.6903726250166,1.0951145000290126,280.966394488307,0.41210626557568486,1.0171296029062016,-0.0008680021151092898,0.015292959573957418,2.2208293309136256
equal_ternary_50mm,ternary mixtures,50.0,0.3333333333333333,0.3333333333333333,0.3333333333333334,100000000,317.39245770900743,1.0962937920121476,289.51405181859366,0.7780877494469179,0.9313344437829889,0.0008748782558041235,0.015078865508723165,2.102879743281173
fat_50mm,pure components,50.0,0.0,1.0,0.0,100000000,328.7485676659853,1.242447540978901,264.5975438182046,0.6024737863287578,0.9746479186788791,0.0006959666568211453,0.012569885764836504,1.5728796783799348
fat_collagen_50mm,binary mixtures,50.0,0.0,0.5,0.5,100000000,354.15490745799616,1.1264815829927102,314.3903218702582,0.5405290389375451,0.9884426736013623,-0.002221665209775181,0.01263783306010775,2.623132342493218
g50_100mm,g50 thickness series,100.0,0.385893,0.510305,0.103802,100000000,285.9660367500037,0.9585615000105463,298.3283146119028,0.5052432292159869,0.996237551486642,0.0031406292643523237,0.03785002326302005,1.5766269118233878
g50_25mm,g50 thickness series,25.0,0.385893,0.510305,0.103802,100000000,317.5536644580425,1.3010829170234501,244.06873712901037,0.0028834318691574722,1.2612800698102706,-0.0003711390600413811,0.013533766154221432,1.039416100847081
g50_50mm,g50 thickness series,50.0,0.385893,0.510305,0.103802,100000000,294.14887720899424,1.1504160409676842,255.68913048323623,0.6912459745644257,0.9539711954025434,0.002795255442399558,0.015195007594526503,2.2899056004006466
water_100mm,pure components,100.0,1.0,0.0,0.0,100000000,310.57633983396227,1.1432482920354232,271.6613197654698,0.8249702875494087,0.9171837043462303,-0.0007574144997025689,0.0720056026582655,0.8444114992778792
water_10mm,pure components,10.0,1.0,0.0,0.0,100000000,313.1902787919971,1.6897340000141412,185.34886484463001,0.3771479091280588,1.0252744194022851,-0.000496409939150344,0.013319718083392171,0.6691863402143859
water_50mm,pure components,50.0,1.0,0.0,0.0,100000000,293.29136350000044,1.4057261670241132,208.6404666713225,0.6008596142883001,0.9750114627112465,-0.0005920182290334308,0.019057996901342238,1.3586186471847397
water_collagen_50mm,binary mixtures,50.0,0.5,0.0,0.5,100000000,344.3912272499874,1.3935760830063373,247.12768211911205,0.31348883132787014,1.0409043125014672,-0.0012092682718097825,0.01915256094815276,2.36517657368728
water_fat_50mm,binary mixtures,50.0,0.5,0.5,0.0,100000000,296.4083432080224,1.099446167005226,269.59786854813194,0.6861972150785014,0.9551955245516132,-0.0019008342099923192,0.016649628430030025,2.5673209883155916
